,origin,destination,startdate,deptime,arrtime,stops,duration,layovers,airline,currency,price,url
135,HEL,LON,2023-11-30,7:30 am , 2:30 pm,1,9h 00m,300,CitizenPlane,USD,236,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
136,HEL,LON,2023-11-30,7:00 am , 5:05 pm,1,12h 05m,435,Lufthansa,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
137,HEL,LON,2023-11-30,7:05 am , 4:40 pm,1,11h 35m,440,Lufthansa,USD,186,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
138,HEL,LON,2023-11-30,12:45 pm , 10:55 pm,1,12h 10m,435,Lufthansa,USD,179,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
139,HEL,LON,2023-11-30,6:30 am , 2:45 pm,2,10h 15m,315,Lufthansa,USD,230,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
140,HEL,LON,2023-11-30,7:05 am , 4:45 pm,1,11h 40m,425,Lufthansa,USD,186,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
141,HEL,LON,2023-11-30,7:05 am , 5:05 pm,1,12h 00m,460,Lufthansa,USD,186,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
142,HEL,LON,2023-11-30,7:25 am , 5:05 pm,2,11h 40m,370,Lufthansa,USD,217,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
143,HEL,LON,2023-11-30,5:20 am , 1:20 pm,2,10h 00m,325,"airBaltic, easyJet",USD,175,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
144,HEL,LON,2023-11-30,6:30 am , 3:45 pm,2,11h 15m,375,Lufthansa,USD,230,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
145,HEL,LON,2023-11-30,2:00 pm , 5:45 pm,1,5h 45m,70,Lufthansa,USD,274,https://www.kayak.com/flights/HEL-LON/2023-11-30?sort=bestflight_a
